entry_time,exit_time,right,strike,entry_option,exit_option,pnl_dollar,pnl_pct,exit_reason,underlying,date
2026-02-23 09:40:00-05:00,2026-02-23 11:40:00-05:00,C,690.0,2.4,2.39,-3.0,-1.2,max_hold_time,682.4,2026-02-23
2026-02-23 11:20:00-05:00,2026-02-23 11:40:00-05:00,P,680.0,1.9,1.69,-22.93,-12.1,stop_loss,682.4,2026-02-23
2026-02-23 11:25:00-05:00,2026-02-23 11:40:00-05:00,P,681.0,2.34,2.07,-29.31,-12.5,stop_loss,682.4,2026-02-23
2026-02-23 11:55:00-05:00,2026-02-23 12:10:00-05:00,C,683.0,2.51,2.39,-13.84,-5.5,stop_loss,681.77,2026-02-23
2026-02-23 12:05:00-05:00,2026-02-23 12:10:00-05:00,C,684.0,2.13,1.97,-18.36,-8.6,stop_loss,681.77,2026-02-23
2026-02-23 11:45:00-05:00,2026-02-23 12:35:00-05:00,P,680.0,1.79,2.25,43.85,24.5,profit_target,680.62,2026-02-23
2026-02-23 12:25:00-05:00,2026-02-23 12:35:00-05:00,P,681.0,2.29,2.72,40.99,17.9,profit_target,680.62,2026-02-23
2026-02-23 12:40:00-05:00,2026-02-23 12:50:00-05:00,P,681.0,2.3,2.09,-22.95,-10.0,stop_loss,681.96,2026-02-23
2026-02-23 13:15:00-05:00,2026-02-23 13:20:00-05:00,C,683.0,2.34,2.78,42.6,18.2,profit_target,683.74,2026-02-23
2026-02-23 13:25:00-05:00,2026-02-23 13:35:00-05:00,C,684.0,2.24,2.05,-20.39,-9.1,stop_loss,683.38,2026-02-23
2026-02-23 13:40:00-05:00,2026-02-23 13:55:00-05:00,C,684.0,1.96,1.8,-18.29,-9.3,stop_loss,682.01,2026-02-23
2026-02-23 14:00:00-05:00,2026-02-23 14:10:00-05:00,P,681.0,2.02,1.94,-10.48,-5.2,stop_loss,681.86,2026-02-23
2026-02-23 14:05:00-05:00,2026-02-23 14:15:00-05:00,P,682.0,2.43,2.22,-23.14,-9.5,stop_loss,681.76,2026-02-23
2026-02-23 14:20:00-05:00,2026-02-23 14:25:00-05:00,P,681.0,1.67,1.97,27.88,16.7,profit_target,681.27,2026-02-23
2026-02-23 14:30:00-05:00,2026-02-23 14:40:00-05:00,P,681.0,1.64,1.77,11.05,6.7,profit_target,680.86,2026-02-23
2026-02-23 14:35:00-05:00,2026-02-23 14:45:00-05:00,P,682.0,2.23,2.05,-19.96,-9.0,stop_loss,681.37,2026-02-23
2026-02-23 15:25:00-05:00,2026-02-23 15:30:00-05:00,C,681.0,2.06,2.59,50.99,24.7,profit_target,682.08,2026-02-23
2026-02-23 15:35:00-05:00,2026-02-23 15:45:00-05:00,C,683.0,1.31,1.44,11.15,8.5,profit_target,681.93,2026-02-23
2026-02-23 15:40:00-05:00,2026-02-23 15:45:00-05:00,C,682.0,1.76,1.92,14.13,8.0,profit_target,681.93,2026-02-23
2026-02-23 13:50:00-05:00,2026-02-23 15:50:00-05:00,C,685.0,1.53,1.52,-3.0,-2.0,max_hold_time,681.06,2026-02-23
2026-02-23 15:55:00-05:00,2026-02-24 09:30:00-05:00,P,680.0,1.64,2.68,102.55,62.7,profit_target,680.79,2026-02-23
2026-02-24 09:35:00-05:00,2026-02-24 11:35:00-05:00,P,680.0,2.49,2.48,-3.0,-1.2,max_hold_time,685.74,2026-02-24
2026-02-24 13:00:00-05:00,2026-02-24 13:05:00-05:00,C,687.0,2.36,2.21,-17.32,-7.3,stop_loss,687.57,2026-02-24
2026-02-24 14:15:00-05:00,2026-02-24 14:35:00-05:00,P,686.0,0.82,0.72,-11.32,-13.9,stop_loss,687.0,2026-02-24
2026-02-24 14:20:00-05:00,2026-02-24 14:35:00-05:00,P,687.0,1.26,1.13,-15.32,-12.1,stop_loss,687.0,2026-02-24
2026-02-24 14:25:00-05:00,2026-02-24 14:40:00-05:00,P,688.0,1.74,1.55,-20.2,-11.6,stop_loss,687.18,2026-02-24
2026-02-24 14:45:00-05:00,2026-02-24 15:05:00-05:00,P,687.0,1.05,1.2,12.54,11.9,profit_target,686.85,2026-02-24
2026-02-24 15:00:00-05:00,2026-02-24 15:05:00-05:00,C,687.0,1.42,1.3,-13.63,-9.6,stop_loss,686.85,2026-02-24
2026-02-24 15:10:00-05:00,2026-02-24 15:15:00-05:00,P,687.0,1.29,1.18,-12.44,-9.7,stop_loss,686.88,2026-02-24
2026-02-24 15:20:00-05:00,2026-02-24 15:25:00-05:00,P,687.0,1.22,1.35,11.15,9.1,profit_target,686.54,2026-02-24
2026-02-24 15:30:00-05:00,2026-02-24 15:40:00-05:00,P,687.0,1.13,1.03,-12.63,-11.2,stop_loss,687.21,2026-02-24
2026-02-24 15:35:00-05:00,2026-02-24 15:40:00-05:00,P,686.0,0.8,0.65,-17.46,-21.8,stop_loss,687.21,2026-02-24
2026-02-24 15:45:00-05:00,2026-02-24 15:50:00-05:00,C,689.0,0.73,0.86,10.59,14.4,profit_target,687.88,2026-02-24
2026-02-24 15:55:00-05:00,2026-02-25 09:30:00-05:00,C,689.0,0.7,4.66,394.33,562.9,profit_target,690.84,2026-02-24
2026-02-25 09:50:00-05:00,2026-02-25 10:00:00-05:00,P,689.0,2.5,2.71,18.85,7.5,profit_target,690.94,2026-02-25
2026-02-25 12:00:00-05:00,2026-02-25 12:05:00-05:00,C,692.0,1.4,1.29,-13.47,-9.6,stop_loss,692.09,2026-02-25
2026-02-25 11:55:00-05:00,2026-02-25 12:25:00-05:00,C,693.0,0.86,0.69,-19.05,-22.2,stop_loss,691.97,2026-02-25
2026-02-25 12:10:00-05:00,2026-02-25 12:25:00-05:00,C,692.0,1.33,1.14,-21.4,-16.1,stop_loss,691.97,2026-02-25
2026-02-25 13:00:00-05:00,2026-02-25 13:15:00-05:00,C,692.0,1.44,1.35,-10.43,-7.3,stop_loss,692.38,2026-02-25
2026-02-25 12:50:00-05:00,2026-02-25 13:20:00-05:00,C,693.0,0.91,0.8,-12.7,-14.0,stop_loss,692.27,2026-02-25
2026-02-25 12:55:00-05:00,2026-02-25 13:20:00-05:00,C,694.0,0.55,0.45,-11.75,-21.3,stop_loss,692.27,2026-02-25
2026-02-25 13:35:00-05:00,2026-02-25 13:40:00-05:00,P,693.0,1.33,1.19,-16.47,-12.4,stop_loss,692.55,2026-02-25
2026-02-25 13:50:00-05:00,2026-02-25 14:05:00-05:00,C,693.0,0.94,1.1,13.4,14.2,profit_target,692.93,2026-02-25
2026-02-25 14:15:00-05:00,2026-02-25 14:20:00-05:00,C,692.0,1.76,1.67,-11.13,-6.3,stop_loss,692.9,2026-02-25
2026-02-25 14:00:00-05:00,2026-02-25 14:30:00-05:00,C,694.0,0.61,0.76,12.91,21.2,profit_target,693.2,2026-02-25
2026-02-25 14:10:00-05:00,2026-02-25 14:30:00-05:00,C,693.0,1.07,1.24,15.19,14.3,profit_target,693.2,2026-02-25
2026-02-25 14:25:00-05:00,2026-02-25 14:30:00-05:00,C,692.0,1.65,1.87,19.33,11.7,profit_target,693.2,2026-02-25
2026-02-25 14:35:00-05:00,2026-02-25 15:10:00-05:00,C,694.0,0.78,0.7,-10.07,-12.9,stop_loss,693.08,2026-02-25
2026-02-25 14:45:00-05:00,2026-02-25 15:10:00-05:00,C,693.0,1.24,1.16,-10.11,-8.1,stop_loss,693.08,2026-02-25
2026-02-25 15:15:00-05:00,2026-02-25 15:30:00-05:00,P,693.0,0.91,1.01,8.65,9.6,profit_target,692.86,2026-02-25
2026-02-25 15:20:00-05:00,2026-02-25 15:45:00-05:00,P,692.0,0.57,0.47,-12.36,-21.5,stop_loss,693.24,2026-02-25
2026-02-25 15:50:00-05:00,2026-02-25 15:55:00-05:00,C,694.0,0.85,0.69,-18.36,-21.5,stop_loss,693.07,2026-02-25
2026-02-26 09:30:00-05:00,2026-02-26 09:40:00-05:00,P,692.0,0.65,1.13,46.07,70.5,profit_target,691.45,2026-02-26
2026-02-26 09:35:00-05:00,2026-02-26 09:40:00-05:00,P,693.0,1.23,1.8,54.72,44.5,profit_target,691.45,2026-02-26
2026-02-26 09:45:00-05:00,2026-02-26 09:55:00-05:00,P,690.0,0.46,0.57,8.87,19.3,profit_target,690.67,2026-02-26
2026-02-26 09:50:00-05:00,2026-02-26 09:55:00-05:00,P,691.0,0.89,1.02,11.59,13.1,profit_target,690.67,2026-02-26
2026-02-26 10:00:00-05:00,2026-02-26 10:05:00-05:00,P,690.0,0.72,0.88,13.74,19.0,profit_target,689.98,2026-02-26
2026-02-25 14:40:00-05:00,2026-02-26 10:10:00-05:00,C,695.0,0.4,0.38,-4.41,-11.0,max_hold_time,688.59,2026-02-25
2026-02-26 10:15:00-05:00,2026-02-26 10:20:00-05:00,P,685.0,1.22,1.74,49.75,40.8,profit_target,685.32,2026-02-26
2026-02-26 10:25:00-05:00,2026-02-26 10:30:00-05:00,P,685.0,1.63,2.22,56.24,34.4,profit_target,684.58,2026-02-26
2026-02-26 10:35:00-05:00,2026-02-26 10:40:00-05:00,P,685.0,1.94,1.83,-13.41,-6.9,stop_loss,686.93,2026-02-26
2026-02-26 10:45:00-05:00,2026-02-26 11:00:00-05:00,P,686.0,2.03,1.85,-20.38,-10.0,stop_loss,688.03,2026-02-26
2026-02-26 10:50:00-05:00,2026-02-26 11:00:00-05:00,P,687.0,2.42,2.26,-18.87,-7.8,stop_loss,688.03,2026-02-26
2026-02-26 11:05:00-05:00,2026-02-26 11:10:00-05:00,C,690.0,2.0,2.2,17.77,8.9,profit_target,688.58,2026-02-26
2026-02-26 11:15:00-05:00,2026-02-26 11:25:00-05:00,C,690.0,2.08,2.25,14.88,7.2,profit_target,688.74,2026-02-26
2026-02-26 11:40:00-05:00,2026-02-26 11:45:00-05:00,P,685.0,2.0,1.83,-18.38,-9.2,stop_loss,687.32,2026-02-26
2026-02-26 11:50:00-05:00,2026-02-26 11:55:00-05:00,P,685.0,2.11,1.72,-40.92,-19.4,stop_loss,686.25,2026-02-26
2026-02-26 12:00:00-05:00,2026-02-26 12:15:00-05:00,P,687.0,2.38,1.74,-66.55,-27.9,stop_loss,686.31,2026-02-26
2026-02-26 12:10:00-05:00,2026-02-26 12:15:00-05:00,P,686.0,1.85,1.23,-64.13,-34.7,stop_loss,686.31,2026-02-26
2026-02-26 12:45:00-05:00,2026-02-26 12:50:00-05:00,P,687.0,2.45,2.08,-38.79,-15.8,stop_loss,685.82,2026-02-26
2026-02-26 13:00:00-05:00,2026-02-26 13:10:00-05:00,P,685.0,1.38,1.26,-13.97,-10.2,stop_loss,685.33,2026-02-26
2026-02-26 13:05:00-05:00,2026-02-26 13:15:00-05:00,P,684.0,0.93,0.64,-30.73,-33.1,stop_loss,685.73,2026-02-26
2026-02-26 11:30:00-05:00,2026-02-26 13:30:00-05:00,C,691.0,1.77,1.76,-3.0,-1.7,max_hold_time,686.96,2026-02-26
2026-02-26 13:35:00-05:00,2026-02-26 13:50:00-05:00,C,688.0,1.25,1.14,-12.92,-10.3,stop_loss,687.31,2026-02-26
2026-02-26 13:40:00-05:00,2026-02-26 13:50:00-05:00,C,687.0,1.77,1.63,-16.35,-9.2,stop_loss,687.31,2026-02-26
2026-02-26 13:45:00-05:00,2026-02-26 13:50:00-05:00,C,686.0,2.38,2.23,-16.97,-7.1,stop_loss,687.31,2026-02-26
2026-02-26 13:55:00-05:00,2026-02-26 14:00:00-05:00,C,688.0,1.18,1.43,22.9,19.3,profit_target,687.88,2026-02-26
2026-02-26 14:05:00-05:00,2026-02-26 14:15:00-05:00,C,688.0,1.76,1.88,9.63,5.5,profit_target,688.97,2026-02-26
2026-02-26 14:10:00-05:00,2026-02-26 14:20:00-05:00,C,689.0,1.27,1.39,10.86,8.6,profit_target,689.21,2026-02-26
2026-02-26 14:25:00-05:00,2026-02-26 14:30:00-05:00,C,689.0,1.15,1.45,28.35,24.7,profit_target,689.23,2026-02-26
2026-02-26 14:40:00-05:00,2026-02-26 14:45:00-05:00,C,690.0,0.86,1.03,14.96,17.4,profit_target,689.58,2026-02-26
2026-02-26 14:50:00-05:00,2026-02-26 14:55:00-05:00,C,690.0,1.02,0.88,-15.87,-15.6,stop_loss,689.02,2026-02-26
2026-02-26 14:35:00-05:00,2026-02-26 15:00:00-05:00,C,691.0,0.55,0.74,16.12,29.1,profit_target,689.57,2026-02-26
2026-02-26 15:05:00-05:00,2026-02-26 15:10:00-05:00,P,688.0,0.83,0.68,-16.47,-19.9,stop_loss,688.91,2026-02-26
2026-02-26 15:25:00-05:00,2026-02-26 15:30:00-05:00,P,688.0,0.78,0.58,-22.19,-28.4,stop_loss,689.41,2026-02-26
2026-02-26 15:40:00-05:00,2026-02-26 15:45:00-05:00,C,688.0,2.0,1.82,-20.08,-10.0,stop_loss,689.12,2026-02-26
2026-02-26 15:35:00-05:00,2026-02-26 15:50:00-05:00,P,690.0,1.47,1.64,14.63,9.9,profit_target,688.99,2026-02-26
2026-02-26 15:55:00-05:00,2026-02-27 11:25:00-05:00,C,691.0,0.49,0.48,-3.0,-6.1,max_hold_time,685.38,2026-02-26
